任务ID,任务类型,测试条件,方法类型,任务完成率,部署时间(分钟),错误恢复率,能源消耗(瓦),操作调整次数,工程师需求等级
1,简单拾取放置,标准,传统预编程,0.98,120,0.10,38,12,专业
2,简单拾取放置,标准,基于LLM,0.94,2,0.85,44,0,初级
3,简单拾取放置,位置偏移,传统预编程,0.35,145,0.05,38,18,专业
4,简单拾取放置,位置偏移,基于LLM,0.92,2,0.82,45,0,初级
5,简单拾取放置,光照变化,传统预编程,0.45,138,0.08,38,15,专业
6,简单拾取放置,光照变化,基于LLM,0.90,2,0.80,46,0,初级

7,复杂装配,标准,传统预编程,0.97,185,0.15,42,24,专业
8,复杂装配,标准,基于LLM,0.88,5,0.75,48,0,中级
9,复杂装配,位置偏移,传统预编程,0.25,210,0.08,42,32,专业
10,复杂装配,位置偏移,基于LLM,0.82,5,0.72,49,0,中级
11,复杂装配,光照变化,传统预编程,0.30,198,0.10,42,28,专业
12,复杂装配,光照变化,基于LLM,0.80,5,0.70,50,0,中级

13,动态场景适应,物体移动,传统预编程,0.15,240,0.05,40,38,专业
14,动态场景适应,物体移动,基于LLM,0.84,3,0.78,46,0,初级
15,动态场景适应,新物体引入,传统预编程,0.10,265,0.02,40,45,专业
16,动态场景适应,新物体引入,基于LLM,0.78,3,0.72,47,0,初级
17,动态场景适应,障碍物出现,传统预编程,0.08,255,0.01,40,42,专业
18,动态场景适应,障碍物出现,基于LLM,0.76,3,0.70,47,0,初级

19,多对象操作,顺序操作,传统预编程,0.95,175,0.12,41,26,专业
20,多对象操作,顺序操作,基于LLM,0.86,4,0.76,47,0,中级
21,多对象操作,条件操作,传统预编程,0.88,215,0.08,41,34,专业
22,多对象操作,条件操作,基于LLM,0.82,4,0.72,48,0,中级
23,多对象操作,布局变化,传统预编程,0.30,235,0.06,41,40,专业
24,多对象操作,布局变化,基于LLM,0.80,4,0.70,48,0,中级

25,指令错误恢复,语法错误,传统预编程,0.10,N/A,0.00,38,0,专业
26,指令错误恢复,语法错误,基于LLM,0.85,2,0.92,45,0,初级
27,指令错误恢复,语义矛盾,传统预编程,0.05,N/A,0.00,38,0,专业
28,指令错误恢复,语义矛盾,基于LLM,0.78,2,0.86,45,0,初级
29,指令错误恢复,指令不完整,传统预编程,0.08,N/A,0.00,38,0,专业
30,指令错误恢复,指令不完整,基于LLM,0.82,2,0.90,45,0,初级
