指令ID,指令类型,指令内容,模型,理解准确率,执行成功率,响应时间(ms),澄清请求次数
1,简单,将机械臂回到零位置,GPT-4o,1,1,632,0
2,简单,抓取红色方块,GPT-4o,1,0.98,652,0
3,简单,打开真空泵,GPT-4o,1,1,587,0
4,简单,关闭LED灯,GPT-4o,1,1,602,0
5,简单,拍摄一张照片,GPT-4o,0.98,0.98,701,0
6,中等,将红色方块放在蓝色盒子上,GPT-4o,0.95,0.93,756,0
7,中等,先将机械臂回零然后执行舞蹈动作,GPT-4o,0.95,0.94,798,0
8,中等,拿起桌子左侧的玩具放到右侧,GPT-4o,0.88,0.86,825,1
9,中等,打开真空泵抓取绿色积木,GPT-4o,0.93,0.91,776,0
10,中等,逆时针旋转第二个关节30度,GPT-4o,0.91,0.9,742,0
11,复杂,先将机械臂回零，然后抓取红色方块，最后放到绿色区域,GPT-4o,0.85,0.82,895,0
12,复杂,找到桌上最小的物体并将其移动到盒子中,GPT-4o,0.79,0.76,925,1
13,复杂,按颜色顺序排列三个方块：红、绿、蓝,GPT-4o,0.81,0.78,918,1
14,复杂,先打开LED灯，执行舞蹈，然后回到观察位置,GPT-4o,0.84,0.84,876,0
15,复杂,从左到右依次触碰桌上所有物体,GPT-4o,0.76,0.72,942,1
16,模糊,把它放在那边,GPT-4o,0.72,0.68,795,1
17,模糊,帮我整理一下,GPT-4o,0.65,0.6,812,1
18,模糊,移动一下那个,GPT-4o,0.68,0.62,788,1
19,模糊,做之前那个动作,GPT-4o,0.78,0.76,752,1
20,模糊,像昨天一样摆放,GPT-4o,0.62,0.58,876,1
21,上下文依赖,再做一次,GPT-4o,0.82,0.8,672,1
22,上下文依赖,把另一个也放进去,GPT-4o,0.75,0.72,732,1
23,上下文依赖,用同样的方式处理蓝色的,GPT-4o,0.78,0.75,758,1
24,上下文依赖,接着完成剩下的,GPT-4o,0.7,0.65,782,1
25,上下文依赖,这次换成绿色的,GPT-4o,0.85,0.82,706,0
,,,,,,,
26,简单,旋转底座90度,Claude-3,0.98,0.98,622,0
27,简单,抓取蓝色球体,Claude-3,0.97,0.96,645,0
28,中等,先亮红灯然后执行头部点头动作,Claude-3,0.92,0.9,785,0
29,复杂,依次抓取三个不同颜色的小球并排列成三角形,Claude-3,0.79,0.75,912,1
30,模糊,整理一下桌面,Claude-3,0.7,0.65,836,1
,,,,,,,
31,简单,展示摄像头画面,Gemini-1.5,0.99,0.99,615,0
32,中等,将黄色积木从盒子中取出放到桌子上,Gemini-1.5,0.9,0.88,778,0
33,复杂,先回到零位，等待3秒，然后依次触碰桌上的红色物体,Gemini-1.5,0.82,0.79,905,0
34,模糊,把那个放好,Gemini-1.5,0.65,0.6,825,1
35,上下文依赖,继续刚才的操作,Gemini-1.5,0.74,0.72,765,1
,,,,,,,
36,简单,进入教学模式,Yi-Large,0.97,0.97,638,0
37,中等,抓取白色卡片放到识别区域,Yi-Large,0.89,0.86,792,0
38,复杂,识别并按大小顺序排列桌上的所有立方体,Yi-Large,0.75,0.7,935,1
39,模糊,帮我弄一下那边,Yi-Large,0.6,0.55,842,1
40,上下文依赖,用之前相同的方法,Yi-Large,0.72,0.68,775,1
,,,,,,,
41,简单,移动到坐标150-100,ERNIE-Bot,0.96,0.96,625,0
42,中等,先拍照然后识别图像中的物体,ERNIE-Bot,0.88,0.86,782,0
43,复杂,从盒子A取出物品，检查后放入盒子B,ERNIE-Bot,0.78,0.75,895,1
44,模糊,收拾一下,ERNIE-Bot,0.62,0.57,835,1
45,上下文依赖,以相同的高度放置,ERNIE-Bot,0.7,0.66,762,1
