测试ID,任务类型,仅语言模式成功率,仅视觉模式成功率,多模态融合成功率,提升百分比,响应时间差异(ms),决策置信度提升,关键贡献因素
1,物体识别,0.68,0.82,0.94,26.5,+85,0.32,视觉特征补充语义理解
2,位置定位,0.58,0.90,0.92,15.8,+65,0.25,视觉信息主导定位
3,状态判断,0.72,0.76,0.95,28.2,+92,0.35,多模态互补性增强
4,场景理解,0.65,0.78,0.92,27.3,+88,0.33,语境与视觉场景结合
5,动作规划,0.85,0.62,0.94,26.2,+78,0.28,语言指导视觉执行

6,模糊指令解析,0.58,0.45,0.82,42.2,+105,0.45,多通道消歧
7,上下文依赖指令,0.70,0.42,0.84,31.9,+98,0.38,历史记录与视觉当前状态整合
8,空间关系理解,0.52,0.88,0.93,15.8,+72,0.27,视觉空间计算补充语言描述
9,颜色与形状匹配,0.62,0.85,0.94,23.3,+68,0.29,特征检测增强语义匹配
10,顺序操作执行,0.82,0.70,0.95,26.4,+82,0.31,步骤跟踪与视觉确认结合

11,红色立方体识别,0.72,0.88,0.96,22.9,+75,0.30,特定特征识别增强
12,蓝色球体识别,0.70,0.86,0.94,24.0,+78,0.30,特定特征识别增强
13,绿色圆柱体识别,0.68,0.85,0.93,23.7,+80,0.31,特定特征识别增强
14,不规则物体识别,0.55,0.78,0.88,29.9,+95,0.36,复杂形状理解提升
15,堆叠物体识别,0.48,0.72,0.85,32.7,+102,0.38,空间关系理解提升

16,物体分组,0.65,0.75,0.90,28.6,+88,0.34,类别与视觉聚类结合
17,相似性判断,0.72,0.80,0.93,25.2,+82,0.32,语义与视觉特征结合
18,差异性检测,0.68,0.82,0.92,26.1,+85,0.33,对比分析能力增强
19,缺失部件识别,0.60,0.85,0.92,25.7,+90,0.35,完整性检查增强
20,装配顺序验证,0.75,0.68,0.92,28.2,+95,0.35,程序知识与视觉确认结合

21,光照不足条件,0.72,0.62,0.86,28.8,+110,0.36,互补信息弥补单模态缺陷
22,部分遮挡条件,0.55,0.58,0.82,41.9,+115,0.42,跨模态信息整合
23,反光表面物体,0.65,0.60,0.84,34.0,+105,0.38,多角度信息整合
24,透明物体识别,0.58,0.55,0.78,34.8,+108,0.40,边缘与上下文结合
25,动态场景理解,0.62,0.70,0.88,33.3,+102,0.38,时序信息与空间信息结合

26,GPT-4o多模态,0.78,0.88,0.96,15.7,+82,0.28,先进多模态融合架构
27,Qwen-VL多模态,0.72,0.85,0.93,18.2,+88,0.30,中文多模态优势
28,Gemini-1.5多模态,0.75,0.86,0.94,17.1,+85,0.29,多模态预训练效果
29,基础模型多模态,0.65,0.75,0.85,21.4,+98,0.32,基础模型局限性
30,优化模型多模态,0.75,0.85,0.95,22.9,+78,0.34,针对性优化效果
