TaskID,TaskType,SpeechProcessingLatency(ms),VisionProcessingLatency(ms),DecisionGenerationTime(ms),MotionPlanningTime(ms),ExecutionTime(ms),TotalLatency(ms),IndustrialRealTimeStandardMet
1,SimplePickup,105,N/A,328,96,125,654,Yes
2,SimplePickup,112,N/A,342,102,130,686,Yes
3,SimplePickup,98,N/A,315,94,118,625,Yes
4,SimplePickup,108,N/A,335,99,128,670,Yes
5,SimplePickup,115,N/A,352,105,135,707,Yes
6,SimplePickup,102,N/A,322,97,122,643,Yes
7,SimplePickup,110,N/A,338,100,130,678,Yes
8,SimplePickup,118,N/A,362,108,138,726,Yes
9,SimplePickup,104,N/A,325,98,125,652,Yes
10,SimplePickup,107,N/A,332,100,129,668,Yes

11,VisionGuidedPickup,112,145,352,106,132,847,Yes
12,VisionGuidedPickup,118,152,368,112,138,888,Yes
13,VisionGuidedPickup,105,138,342,102,128,815,Yes
14,VisionGuidedPickup,115,149,362,109,135,870,Yes
15,VisionGuidedPickup,122,158,375,115,142,912,Yes
16,VisionGuidedPickup,108,142,348,105,130,833,Yes
17,VisionGuidedPickup,117,151,365,110,136,879,Yes
18,VisionGuidedPickup,125,162,382,118,145,932,Yes
19,VisionGuidedPickup,110,145,355,107,132,849,Yes
20,VisionGuidedPickup,114,148,358,108,134,862,Yes

21,MultiStepTask,125,155,392,118,165,955,Yes
22,MultiStepTask,132,162,408,125,175,1002,No
23,MultiStepTask,118,148,376,114,158,914,Yes
24,MultiStepTask,128,158,395,120,168,969,Yes
25,MultiStepTask,135,168,415,128,178,1024,No
26,MultiStepTask,122,152,385,116,162,937,Yes
27,MultiStepTask,130,160,402,122,172,986,Yes
28,MultiStepTask,138,172,422,132,182,1046,No
29,MultiStepTask,124,154,388,118,165,949,Yes
30,MultiStepTask,127,156,392,120,168,963,Yes

31,DynamicSceneAdaptation,135,165,425,135,175,1035,No
32,DynamicSceneAdaptation,142,172,442,142,185,1083,No
33,DynamicSceneAdaptation,128,158,408,128,168,990,Yes
34,DynamicSceneAdaptation,138,168,432,138,178,1054,No
35,DynamicSceneAdaptation,145,178,450,145,188,1106,No
36,DynamicSceneAdaptation,132,162,418,132,172,1016,No
37,DynamicSceneAdaptation,140,170,435,140,182,1067,No
38,DynamicSceneAdaptation,148,182,458,148,192,1128,No
39,DynamicSceneAdaptation,134,164,422,134,174,1028,No
40,DynamicSceneAdaptation,137,167,428,137,178,1047,No

41,OptimizedSimplePickup,92,N/A,268,85,112,557,Yes
42,OptimizedVisionGuidedPickup,95,118,285,90,118,706,Yes
43,OptimizedMultiStepTask,105,125,308,102,145,785,Yes
44,OptimizedDynamicSceneAdaptation,112,132,328,110,152,834,Yes
45,OptimizedComplexAssembly,118,138,345,115,162,878,Yes
